Sr.,Particulars,Qty,Rate,Total,Date,Company,,
1,Dial Sohrab Js ,500,10,5000,20-Mar-11,Five Star Auto Work,,
2,Dial CD 70,500,8,4000,-,,,
3,Dial king Hero,100,8,800,-,,,
4,Dial Ring ,100,6,600,-,,,
5,,,,10400,,,,
6,Upper Cover Unique 70,213,33,7029,29-Mar-11,,,
7,Upper Cover United 70,276,33,9108,-,,,
8,Back Cover 70,489,28,13692,-,,,
9,Housing 70,489,9,4401,-,,,
10,Upper Cover Sohrab Js,390,45,17550,-,,,
11,Housing Sohrab,390,30,11700,-,,,
12,Nest Sohrab,390,15,5850,-,,,
13,Dial Blank 70,1000,8,8000,-,,,
14,,,,77330,,,,
15,Upper Cover United 70,1005,33,33165,21-Apr-11,,,
16,Back Cover 70,1039,28,29092,-,,,
17,Housing 70,1002,9,9018,-,,,
18,Upper Cover Sohrab Js,325,45,14625,-,,,
19,Housing Sohrab Js,325,30,9750,-,,,
20,Nest Sohrab JS,325,15,4875,-,,,
21,Back Cover Sohrab JS,325,15,4875,-,,,
22,,,,105400,,,,
23,Dial Sohrab Js ,500,10,5000,20-Mar-11,,,
24,Dial Blank 70,500,8,4000,-,,,
25,Dial King Hero ,100,8,800,-,,,
26,Dial Ring ,100,6,600,-,,,
27,,,,10400,,,,
28,Dial Sohrab Js ,500,10,5000,26-Apr-11,,,
29,Dial Blank 70,1000,8,8000,30-Apr-11,,,
30,Dial Blank 70,1000,8,8000,4-May-11,,,
31,Housing 70,1073,9,9657,6-May-11,,,
32,Back Cover 70,1023,28,28644,-,,,
33,Upper Cover United,1023,33,33759,-,,,
34,,,,72060,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date:,,,,,,,,
,,,,,,,,
,,,,,,,,
M/S,FiveStar Auto Worke,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Hozing 70,1009,9,9081,15-May-11,,,
2,Upper Cover United,709,33,23397,-,,1000,
3,,,,32478,-,,500,
4,Dial Blank 70,1000,8,8000,16-May-11,,500,
5,Back Covr 70,389,28,10892,17-May-11,,300,
6,Upper cover United,196,33,6468,19-May-11,,1500,
7,Back Cover 70,519,28,14532,-,,,
8,,,,21000,,,,
9,Back Cover 70,450,28,12600,23-May-11,,,
10,Housing Sohrab Js,340,30,10200,-,,,
11,,,,22800,,,,
12,Upper Cover United,510,33,16830,27-May-11,,,
13,Upper Cover Sohrab Js,489,45,22005,-,,,
14,Back Cover Sohrab Js,500,15,7500,-,,,
15,Back Cover 70,254,28,7112,-,,,
16,Housing 70,564,9,5076,-,,,
17,Nest Sohrab JS,500,15,7500,-,,,
18,Housing Sohrab Js,100,30,3000,-,,,
19,,,,69023,,,,
20,Dial Sohrab Js,500,10,5000,6-Jun-11,,,
21,Upper cover United,534,33,17622,7-Jun-11,,,
22,Back Cover 70,982,28,27496,-,,,
23,Housing 70,1015,9,9135,-,,,
24,Dial Blank Sohrab Js,500,10,5000,-,,,
25,,,,59253,,,,
26,Dial Blank 70 King Hero,300,8,2400,16-Jun-11,,,
27,Dial Blank 70,1500,8,12000,-,,,
28,Upper Cover United 70cc,507,33,16731,-,,,
29,Upper Cover United (Hole ) 70,162,33,5346,-,,,
