Sr.,Particulars,Qty,Rate,Total,Date,Company
1,Cover Set 125,500,110,55000,14-Feb-12,Khalid Son's
2,Cover Set 70,222,80,17760,,Khalid Son's
3,Previous Balance,,,10000,,Khalid Son's
4,,,,82760,,Khalid Son's
5,Cover Set 125,170,110,18700,21-Feb-12,Khalid Son's
6,Cover Set 125,240,110,26400,,Khalid Son's
7,,,,45100,,Khalid Son's
8,Cover Set 125,519,110,57090,22-Feb-12,Khalid Son's
9,Cover Set 125,200,110,22000,5-Mar-12,Khalid Son's
10,Cover Set 125,300,110,33000,5-Mar-12,Khalid Son's
11,Cover Set 125,300,110,33000,9-Mar-12,Khalid Son's
12,Cover Set 125,200,110,22000,,Khalid Son's
13,Cover Set 70 (Without Housing),336,72,24192,,Khalid Son's
14,,,,79192,,Khalid Son's
15,Cover Set 125 Old,350,120,42000,15-Jun-13,Khalid Son's
16,Cover Set 125 new,280,125,35000,,Khalid Son's
17,,,,77000,,Khalid Son's
18,Cover Set 125 Old,300,120,36000,8/21/2013,Khalid Son's
19,Cover Set 125 Old,210,120,25200,8/22/2013,Khalid Son's
20,Cover Set 125 Old,300,120,36000,8/24/2013,Khalid Son's
21,Cover Set 125 old,600,120,72000,8/27/2013,Khalid Son's
22,Cover Set 125 New,200,125,25000,,Khalid Son's
23,,,,97000,,Khalid Son's
24,Cover Set 125,750,120,90000,8/30/2013,Khalid Son's
25,Cover Set 125,300,120,36000,9/3/2013,Khalid Son's
26,cover Set 125 new,500,125,62500,9/5/2013,Khalid Son's
27,Cover Set 125 old,500,120,60000,,Khalid Son's
28,,,,122500,,Khalid Son's
29,Cover Set 125 New,220,125,27500,10-Sep-13,Khalid Son's
30,Cover Set 125 old,500,120,60000,,Khalid Son's
31,,,,87500,,Khalid Son's
32,Cover set 125 New,250,125,31250,9/12/2013,Khalid Son's
33,Cover set 125 old,500,120,60000,,Khalid Son's
34,,,,91250,,Khalid Son's
35,Cover Set 125 New,600,125,75000,9/18/2013,Khalid Son's
36,Cover Set 125 New,264,125,33000,2/21/2013,Khalid Son's
37,Cover Set 125 old,400,120,48000,,Khalid Son's
38,Cover Set 70,300,80,24000,,Khalid Son's
39,,,,105000,,Khalid Son's
40,Cover Set 70,500,80,40000,9/25/2013,Khalid Son's
41,Cover Set 125 New,300,125,37500,,Khalid Son's
42,Cover Set 125 Old,500,120,60000,,Khalid Son's
43,,,,137500,,Khalid Son's
44,Cover Set 125 Old,700,120,84000,9/30/2013,Khalid Son's
45,Cover Set 125 New,200,125,25000,,Khalid Son's
46,,,,109000,,Khalid Son's
47,Cover Set 125 New,500,125,62500,10/9/2013,Khalid Son's
48,Cover Set 125 Old,700,120,84000,,Khalid Son's
49,,,,146500,,Khalid Son's
50,Cover Set 125 Old,500,120,60000,10/24/2013,Khalid Son's
51,Cover Set 125 Old,600,0,0,10/29/2013,Khalid Son's
52,Cover Set 125 New,400,125,50000,,Khalid Son's
53,,,,50000,,Khalid Son's
54,Cover Set 125 New,600,125,75000,11/2/2013,Khalid Son's
55,Cover Set 125 Old,400,120,48000,,Khalid Son's
56,,,,123000,,Khalid Son's
57,Cover Set 125 New,200,125,25000,11/8/2013,Khalid Son's
58,Cover Set 125 Old,600,120,72000,,Khalid Son's
59,,,,97000,,Khalid Son's
60,Cover Set 125 Old,600,120,72000,11/16/2013,Khalid Son's
61,Cover Set 125 New,200,125,25000,,Khalid Son's
62,,,,97000,,Khalid Son's
63,Cover set Sohrab js,200,120,24000,11/26/2013,Khalid Son's
64,Cover Set 125 New,400,125,50000,,Khalid Son's
65,Cover Set 125 Old,400,120,48000,,Khalid Son's
66,,,,122000,,Khalid Son's
67,Cover Set 125 New,200,125,25000,11/28/2013,Khalid Son's
68,Cover Set 125 Old,200,120,24000,,Khalid Son's
69,Cover set 70 Unique,500,80,40000,,Khalid Son's
70,,,,89000,,Khalid Son's
71,Cover set 70 Gare counter,100,85,8500,11/29/2013,Khalid Son's
72,Upper Cover 125 Old,600,60,36000,12/5/2013,Khalid Son's
73,back Cover 125 old,600,20,12000,,Khalid Son's
74,Upper Cover 125 new,600,65,39000,,Khalid Son's
75,Back Cover 125 New,600,20,12000,,Khalid Son's
76,,,,99000,,Khalid Son's
77,Upper Cover 125 ,145,60,8700,12/17/2013,Khalid Son's
78,Upper Cover 125 replace,555,0,0,,Khalid Son's
79,Cover Set 125 New,300,125,37500,,Khalid Son's
80,,,,46200,,Khalid Son's
81,Cover Set 125 New,500,125,62500,12/28/2013,Khalid Son's
82,Cover Set 125 Old,500,120,60000,,Khalid Son's
83,,,,122500,,Khalid Son's
84,Dial Blank 125,1000,8,8000,1/3/2014,Khalid Son's
85,Upper cover Unique,540,40,21600,1/8/2014,Khalid Son's
86,Back cover 70,540,31,16740,,Khalid Son's
87,Housing 70,540,9,4860,,Khalid Son's
88,Cover Set 125 New,300,125,37500,,Khalid Son's
89,Cover Set 125 Old,300,120,36000,,Khalid Son's
90,back Cover 125 ,300,20,6000,,Khalid Son's
91,,,,122700,,Khalid Son's
92,Cover Set 125 New,350,125,43750,1/22/2014,Khalid Son's
93,Upper Cover 125 Old,650,60,39000,,Khalid Son's
94,back Cover 125 old,650,20,13000,,Khalid Son's
95,,,,95750,,Khalid Son's
